城市名称,城市ID
杭州,14
上海,2
成都,104
厦门,21
台北,360
香港,38
北京,1
苏州,11
南京,9
丽江,32
重庆,158
武汉,145
昆明,29
广州,152
天津,154
深圳,26
澳门,39
无锡,10
大理白族自治州,31
大连,4
长沙,148
宁波,83
沈阳,155
桂林,28
西安,7
西双版纳,30
哈尔滨,151
张家界,23
拉萨,36
高雄,756
三亚,61
扬州,12
青岛,5
花莲,1366
香格里拉,106
凤凰,988
北海,140
绍兴,18
南宁,166
贵阳,33
阿坝藏族羌族自治州,744
福州,164
西宁,237
阳朔,702
湘西土家族苗族自治州,496
秦皇岛,132
长春,216
九寨沟,25
威海,169
济南,128
珠海,27
峨眉山,24
海口,37
武夷山,22
舟山,479
太原,167
郑州,157
银川,239
嘉兴,272
乐山,103
平遥,365
黄山,120061
烟台,170
承德,135
乌鲁木齐,117
稻城,342
常州,206
林芝,126
洛阳,198
桐乡,220
兰州,231
开封,165
连云港,238
屏东,1364
日喀则,100
台南,757
呼伦贝尔,458
南投,759
腾冲,696
台中,1369
敦煌,8
石家庄,199
嘉善,1019
温州,153
泉州,243
上饶,547
景德镇,405
迪庆,120009
婺源,446
都江堰,911
康定,344
湖州,68
南昌,175
牡丹江,264
甘孜藏族自治州,754
大同,275
新北,2063
泰安,746
佛山,207
金华,219
甘南,426
安吉,686
台东,760
呼和浩特,156
昆山,77
宜昌,313
阿里,99
惠州,213
嵊泗,82
合肥,196
嘉义市,758
黔东南,2375
漠河,983
晋中,639
嘉峪关,284
东莞,212
满洲里,319
肇庆,269
镇江,13
延边,415
丽水,441
日照,622
九江,877
漳州,334
丹东,315
葫芦岛,345
酒泉,282
宜兰,1383
大邑,3130
张掖,283
台州,402
宜春,743
韶关,222
徐州,230
神农架,147
吉林市,267
保定,459
南通,85
保山,420
中山,233
清远,517
色达,120478
汕头,215
阿勒泰地区,427
伊犁,115
咸阳,632
黟县,528
伊春,498
延安,423
淳安,2249
青阳,2613
忻州,783
海林,2240
赤峰,483
昌都,559
丹巴,704
咸宁,861
安顺,518
景洪,2154
大兴安岭,396
池州,825
宝鸡,422
张家口,497
西昌,592
渭南,908
常熟,101
焦作,663
松潘,606
潍坊,226
海西,120012
宜宾,278
溧阳,598
南平,827
临沂,480
柳州,143
江门,362
十堰,464
芜湖,457
龙岩,366
镇远,1840
潮州,467
临汾,318
红河,512
湛江,202
彰化,3180
济宁,658
东阳,608
绵阳,915
衡山,277
理塘,3150
布尔津,1010
黔南,2374
吐鲁番,35
衡阳,864
荔波,659
宜兴,227
雷山,2345
凉山,912
凯里,491
赣州,473
遵义,204
喀什地区,124
阳江,363
汉中,486
吉安,876
山南,339
宁德,490
恩施土家族苗族自治州,487
德清,1011
岳阳,287
泰州,494
乐清,1022
华阴,476
象山,723
桐庐,688
曲阜,129
若尔盖,3165
井冈山,171
德格,3140
南阳,591
安庆,179
南靖,2672
惠东,956
包头,347
白玉,120485
文山壮族苗族自治州,511
海北,120014
宣城,504
梅州,523
南充,782
莆田,317
泸定,2059
登封,1014
唐山,200
河源,350
枣庄,656
雅安,917
郴州,336
中卫,1184
曲靖,509
淮安,351
三沙,120101
金川,3125
衢州,174
荣成,899
淄博,536
雅江,3137
本溪,463
襄阳,414
琼海,843
克什克腾旗,2971
丹江口,1018
鄂尔多斯,600
巴塘,3102
玉溪,477
万宁,846
盐城,493
齐齐哈尔,395
锡林郭勒盟,484
天水,285
黔西南,1428
大庆,531
罗平,676
新乡,474
永嘉,785
三明,620
锦州,513
广元,593
邯郸,495
信阳,448
运城,397
六安,502
道孚,1446234
宁海,689
义乌,1005
晋城,665
炉霍,1446223
铜仁,680
余姚,98
夏河,2792
阿拉善,1193
滁州,228
龙胜,1445120
廊坊,582
黑河,265
榆林,485
陵水,1509
白山,871
尚志,853
安阳,412
巴音郭楞,2512
汶川,3101
湘潭,1417
基隆,1382
泰顺,625
墨脱,120397
修武,2267
贺州,707
兴安盟,886
昌吉回族自治州,923
阿尔山,120084
歙县,527
围场,2584
安康,545
阆中,831
毕节,521
弥勒,1342
龙门,2949
碌曲,2799
常德,417
金门,1368
百色,524
株洲,1174
五常,2237
兴义,519
怀化,655
当雄,2443
桃园,1439
鹰潭,186
克拉玛依,428
营口,692
德宏,526
崇左,837
武义,1004
遂昌,1431
延吉,475
瑞丽,1213
荆州,413
额济纳旗,2973
兴城,1399
黎平,1346
石林,271
鞍山,229
泸州,604
江阴,235
贵溪,1189
额尔古纳,2026
普洱,928
湟源,2643
理县,1445566
慈溪,543
长治,901
海宁,86
德阳,462
元阳,2032
梧州,142
扶风,1880
朔州,903
临海,544
张家港,203
浮梁,2420
诸暨,690
黄冈,859
栾川,1930
仙居,691
海南藏族自治州,120074
楚雄彝族自治州,510
五大连池,857
巴马,3041
太仓,255
台山,673
盘锦,602
浪卡子,2438
聊城,635
沧州,540
安图,643
邢台,460
赤水,1770
新竹,1197
